,item_id,rank
0,44021641588.0,10.0
1,18999829018.0,13.0
2,24596036343.0,
3,45219159638.0,9.0
4,40565901878.0,8.0
5,36613205733.0,11.0
6,41599133465.0,9.0
7,43859660891.0,11.0
8,38708270318.0,12.0
9,35540978058.0,12.0
10,26519380192.0,12.0
11,521513506795.0,9.0
12,18053093587.0,11.0
13,42468840454.0,8.0
14,522033862841.0,11.0
15,521870063421.0,
16,522097809685.0,12.0
17,523776961013.0,14.0
18,16831203027.0,12.0
19,19999809846.0,13.0
20,20167630571.0,10.0
21,27462844289.0,13.0
22,36910165248.0,14.0
23,37994506504.0,12.0
24,38663832002.0,11.0
25,39237426326.0,11.0
26,41802068265.0,13.0
27,43168072227.0,12.0
28,43736454825.0,11.0
29,44231886556.0,11.0
30,44799642380.0,
31,45293052304.0,
32,45410114111.0,10.0
33,522145128789.0,9.0
34,523084126902.0,12.0
35,18820622609.0,
36,20186366493.0,8.0
37,20373091017.0,13.0
38,20728727154.0,9.0
39,23896264169.0,9.0
40,24319152517.0,11.0
41,35674260254.0,10.0
42,36982442137.0,8.0
43,37745552927.0,11.0
44,37870465778.0,8.0
45,40112687054.0,4.0
46,40148868087.0,10.0
47,40175359932.0,10.0
48,42981617542.0,
49,44069100271.0,14.0
50,522086451970.0,6.0
51,522743875767.0,10.0
52,42681494957.0,10.0
53,37443266749.0,8.0
54,43452978184.0,7.0
55,25673844634.0,
56,23924620234.0,12.0
57,40452911197.0,8.0
58,43853759026.0,14.0
59,44881048637.0,9.0
60,522863996797.0,8.0
61,36513357018.0,7.0
62,18352298789.0,9.0
63,37241107923.0,10.0
64,23969324559.0,13.0
65,24291960195.0,12.0
66,43426870825.0,10.0
67,38631814095.0,9.0
68,36574928690.0,11.0
69,44331296085.0,2.0
70,37908516066.0,9.0
71,41583985792.0,8.0
72,35557065616.0,7.0
73,43473279886.0,7.0
74,,
